,Id,Name,Determined Formula,Determined Charge,Previous Formula,Previous Charge,Inferrence Type,Reasoning,Used Databases,Previous Databases,Similarity
11,M_2m35mdntha_c,N  2 methyl 3 5 dinitrophenyl  4 methyl 3 5 dinitroaniline,HN,0,HN,0,Inferred,unconstrained Target & Adherence,,,Same
12,M_2m35mdntha_e,N  2 methyl 3 5 dinitrophenyl  4 methyl 3 5 dinitroaniline,HN,0,HN,0,Inferred,unconstrained Target & Adherence,,,Same
13,M_35dnta_c,N N bis 3 5 dinitrotolyl  amine,HN,0,HN,0,Inferred,unconstrained Target & Adherence,,,Same
14,M_35dnta_e,N N bis 3 5 dinitrotolyl  amine,HN,0,HN,0,Inferred,unconstrained Target & Adherence,,,Same
15,M_6hmhptpp_c,6-hydroxymethyl-dihydropterin pyrophosphate,C7H8N5O8P2,-3,C7H8N5O8P2,-3,Inferred,unconstrained Target & Adherence,,,Same
16,M_R3hdec4e_c, 3 Hydroxy 4Z decenic acid,C10H17O3,0,C10H17O3,0,Inferred,unconstrained Target & Adherence,,,Same
17,M_R_3h4atba_c, 3 Hydroxy 4 acetylthiobutanoic acid,HO,0,HO,0,Inferred,unconstrained Target & Adherence,,,Same
18,M_R_3h6atha_c, 3 Hydroxy 6acetylthiohexanoic acid,C2H3O,0,C2H3O,0,Inferred,unconstrained Target & Adherence,,,Same
19,M_R_3hdd5ea_c, 3 Hydroxydodecanoic 5 en acid,C12H22O3,0,C12H22O3,0,Inferred,unconstrained Target & Adherence,,,Same
20,M_R_3hdd6e_c, 3 Hydroxydodecanoic 6 en acid,C12H19O3,0,C12H19O3,0,Inferred,unconstrained Target & Adherence,,,Same
21,M_R_3hhdca_c, 3 Hydroxyhexadecanoic acid,C16H31O3,0,C16H31O3,0,Inferred,unconstrained Target & Adherence,,,Same
22,M_R_3hhpa_c, 3 hydroxyheptanoic acid,C7H13O3,0,C7H13O3,0,Inferred,unconstrained Target & Adherence,,,Same
23,M_R_3hnonaa_c, 3 hydroxynonanoic acid,C9H15O3,0,C9H15O3,0,Inferred,unconstrained Target & Adherence,,,Same
24,M_R_3hpba_c, 3 Hydroxyphenylbutanoic acid,C10H11O3,0,C10H11O3,0,Inferred,unconstrained Target & Adherence,,,Same
25,M_R_3hpdeca_c, 3 Hydroxy 10 phenyldecanoic acid,C16H17O3,0,C16H17O3,0,Inferred,unconstrained Target & Adherence,,,Same
26,M_R_3hphpa_c, 3 Hydroxy 7 phenylheptanoic acid,C13H13O3,0,C13H13O3,0,Inferred,unconstrained Target & Adherence,,,Same
27,M_R_3hphxa_c, 3 Hydroxy 6 phenylhexanoic acid,C12H13O3,0,C12H13O3,0,Inferred,unconstrained Target & Adherence,,,Same
28,M_R_3hpnona_c, 3 Hydroxy 9 phenylnonanoic acid,C15H15O3,0,C15H15O3,0,Inferred,unconstrained Target & Adherence,,,Same
29,M_R_3hpocta_c, 3 Hydroxy 8 phenyloctanoic acid,C14H15O3,0,C14H15O3,0,Inferred,unconstrained Target & Adherence,,,Same
30,M_R_3hppta_c, 3 Hydroxy 5 phenylpentanoic acic,C11H11O3,0,C11H11O3,0,Inferred,unconstrained Target & Adherence,,,Same
31,M_R_3hpt_c, 3 Hydroxypentanoic acid,C5H9O3,0,C5H9O3,0,Inferred,unconstrained Target & Adherence,,,Same
32,M_R_3htd58e_c, 3 hydroxy  5Z 8Z  tetradecedienic acid,C14H21O3,0,C14H21O3,0,Inferred,unconstrained Target & Adherence,,,Same
33,M_R_3htd5e_c, 3 hydroxy  5Z  tetradecenic acid,C14H25O3,0,C14H25O3,0,Inferred,unconstrained Target & Adherence,,,Same
34,M_ala_L_thr__L_c,Ala-L-Thr-L,C7H14N2O4,0,C7H14N2O4,0,Inferred,unconstrained Target & Adherence,,,Same
35,M_ala_L_thr__L_e,Ala-L-Thr-L,C7H14N2O4,0,C7H14N2O4,0,Inferred,unconstrained Target & Adherence,,,Same
36,M_ala_gln_c,Ala-Gln,C8H15N3O4,0,C8H15N3O4,0,Inferred,unconstrained Target & Adherence,,,Same
37,M_ala_gln_e,Ala-Gln,C8H15N3O4,0,C8H15N3O4,0,Inferred,unconstrained Target & Adherence,,,Same
38,M_ala_his_c,Ala-His,C9H14N4O3,0,C9H14N4O3,0,Inferred,unconstrained Target & Adherence,,,Same
39,M_ala_his_e,Ala-His,C9H14N4O3,0,C9H14N4O3,0,Inferred,unconstrained Target & Adherence,,,Same
40,M_ala_leu_c,Ala-Leu,C9H18N2O3,0,C9H18N2O3,0,Inferred,unconstrained Target & Adherence,,,Same
41,M_ala_leu_e,Ala-Leu,C9H18N2O3,0,C9H18N2O3,0,Inferred,unconstrained Target & Adherence,,,Same
42,M_alagly_c,L-alanylglycine,C5H10N2O3,0,C5H10N2O3,0,Inferred,unconstrained Target & Adherence,,,Same
43,M_alagly_e,L-alanylglycine,C5H10N2O3,0,C5H10N2O3,0,Inferred,unconstrained Target & Adherence,,,Same
44,M_alahis_c,L alaninylhistidine,C9H14N4O3,0,C9H14N4O3,0,Inferred,unconstrained Target & Adherence,,,Same
45,M_alahis_e,L alaninylhistidine,C9H14N4O3,0,C9H14N4O3,0,Inferred,unconstrained Target & Adherence,,,Same
46,M_alahis_p,L alaninylhistidine,C9H14N4O3,0,C9H14N4O3,0,Inferred,unconstrained Target & Adherence,,,Same
47,M_alaleu_c,L alaninylleucine,C9H18N2O3,0,C9H18N2O3,0,Inferred,unconstrained Target & Adherence,,,Same
48,M_alaleu_e,L alaninylleucine,C9H18N2O3,0,C9H18N2O3,0,Inferred,unconstrained Target & Adherence,,,Same
49,M_alaleu_p,L alaninylleucine,C9H18N2O3,0,C9H18N2O3,0,Inferred,unconstrained Target & Adherence,,,Same
50,M_alathr_c,L alaninylthreonine,C7H14N2O4,0,C7H14N2O4,0,Inferred,unconstrained Target & Adherence,,,Same
51,M_alathr_e,L alaninylthreonine,C7H14N2O4,0,C7H14N2O4,0,Inferred,unconstrained Target & Adherence,,,Same
52,M_alathr_p,L alaninylthreonine,C7H14N2O4,0,C7H14N2O4,0,Inferred,unconstrained Target & Adherence,,,Same
53,M_alatrp_c,L alaninyltryptophan,C14H17N3O3,0,C14H17N3O3,0,Inferred,unconstrained Target & Adherence,,,Same
54,M_alatrp_e,L alaninyltryptophan,C14H17N3O3,0,C14H17N3O3,0,Inferred,unconstrained Target & Adherence,,,Same
55,M_alatrp_p,L alaninyltryptophan,C14H17N3O3,0,C14H17N3O3,0,Inferred,unconstrained Target & Adherence,,,Same
56,M_but_c,Butyrate (n-C4:0),C4H7O2,-1,C4H7O2,-1,Inferred,unconstrained Target & Adherence,,,Same
57,M_but_e,Butyrate (n-C4:0),C4H7O2,-1,C4H7O2,-1,Inferred,unconstrained Target & Adherence,,,Same
58,M_but_p,Butyrate (n-C4:0),C4H7O2,-1,C4H7O2,-1,Inferred,unconstrained Target & Adherence,,,Same
59,M_dag181d9_e,1 2 Diacyl sn glycerol  nC181d9,C39H72O5,0,C39H72O5,0,Inferred,unconstrained Target & Adherence,,,Same
60,M_dag182d9d12_e,1 2 Diacyl sn glycerol  nC182d9d12,C39H68O5,0,C39H68O5,0,Inferred,unconstrained Target & Adherence,,,Same
61,M_dca_c,Decanoate (n-C10:0),C10H19O2,-1,C10H19O2,-1,Inferred,unconstrained Target & Adherence,,,Same
62,M_dca_e,Decanoate (n-C10:0),C10H19O2,-1,C10H19O2,-1,Inferred,unconstrained Target & Adherence,,,Same
63,M_dca_p,Decanoate (n-C10:0),C10H19O2,-1,C10H19O2,-1,Inferred,unconstrained Target & Adherence,,,Same
64,M_dcacoa_c,Decanoyl-CoA (n-C10:0CoA),C31H50N7O17P3S,-4,C31H50N7O17P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
65,M_ddca_c,Dodecanoate (n-C12:0),C12H23O2,-1,C12H23O2,-1,Inferred,unconstrained Target & Adherence,,,Same
66,M_ddca_e,Dodecanoate (n-C12:0),C12H23O2,-1,C12H23O2,-1,Inferred,unconstrained Target & Adherence,,,Same
67,M_ddca_p,Dodecanoate (n-C12:0),C12H23O2,-1,C12H23O2,-1,Inferred,unconstrained Target & Adherence,,,Same
68,M_gly_cys_e,Gly-Cys,C5H10N2O3S,0,C5H10N2O3S,0,Inferred,unconstrained Target & Adherence,,,Same
69,M_gly_gln_c,Gly-Gln,C7H13N3O4,0,C7H13N3O4,0,Inferred,unconstrained Target & Adherence,,,Same
70,M_gly_gln_e,Gly-Gln,C7H13N3O4,0,C7H13N3O4,0,Inferred,unconstrained Target & Adherence,,,Same
71,M_gly_leu_e,Gly-Leu,C8H16N2O3,0,C8H16N2O3,0,Inferred,unconstrained Target & Adherence,,,Same
72,M_gly_met_c,Gly-Met,C7H14N2O3S,0,C7H14N2O3S,0,Inferred,unconstrained Target & Adherence,,,Same
73,M_gly_met_e,Gly-Met,C7H14N2O3S,0,C7H14N2O3S,0,Inferred,unconstrained Target & Adherence,,,Same
74,M_gly_phe_e,Gly-Phe,C11H14N2O3,0,C11H14N2O3,0,Inferred,unconstrained Target & Adherence,,,Same
75,M_gly_tyr_e,Gly-Tyr,C11H14N2O4,0,C11H14N2O4,0,Inferred,unconstrained Target & Adherence,,,Same
76,M_glyg4n_c,Glycogen  4 units  linear glucan,C24H40O20,0,C24H40O20,0,Inferred,unconstrained Target & Adherence,,,Same
77,M_glygln_c,L glycinylglutamine,C7H13N3O4,0,C7H13N3O4,0,Inferred,unconstrained Target & Adherence,,,Same
78,M_glygln_e,L glycinylglutamine,C7H13N3O4,0,C7H13N3O4,0,Inferred,unconstrained Target & Adherence,,,Same
79,M_glygln_p,L glycinylglutamine,C7H13N3O4,0,C7H13N3O4,0,Inferred,unconstrained Target & Adherence,,,Same
80,M_glyglygln_c,Glycine-glycine-glutamine tripeptide,C9H18N4O6,0,C9H18N4O6,0,Inferred,unconstrained Target & Adherence,,,Same
81,M_glyglygln_e,Glycine-glycine-glutamine tripeptide,C9H18N4O6,0,C9H18N4O6,0,Inferred,unconstrained Target & Adherence,,,Same
82,M_glymet_c,L Glycinylmethionine,C7H14N2O3S,0,C7H14N2O3S,0,Inferred,unconstrained Target & Adherence,,,Same
83,M_glymet_e,L Glycinylmethionine,C7H14N2O3S,0,C7H14N2O3S,0,Inferred,unconstrained Target & Adherence,,,Same
84,M_glymet_p,L Glycinylmethionine,C7H14N2O3S,0,C7H14N2O3S,0,Inferred,unconstrained Target & Adherence,,,Same
85,M_glyser_c,L glycinylserine,C5H10N2O4,0,C5H10N2O4,0,Inferred,unconstrained Target & Adherence,,,Same
86,M_glyser_e,L glycinylserine,C5H10N2O4,0,C5H10N2O4,0,Inferred,unconstrained Target & Adherence,,,Same
87,M_glyser_p,L glycinylserine,C5H10N2O4,0,C5H10N2O4,0,Inferred,unconstrained Target & Adherence,,,Same
88,M_h2co3_c,Carbonic acid,CH2O3,0,CH2O3,0,Inferred,unconstrained Target & Adherence,,,Same
89,M_hdcea_c,Hexadecenoate (n-C16:1),C16H29O2,-1,C16H29O2,-1,Inferred,unconstrained Target & Adherence,,,Same
90,M_hdcea_p,Hexadecenoate (n-C16:1),C16H29O2,-1,C16H29O2,-1,Inferred,unconstrained Target & Adherence,,,Same
91,M_hisgly_c,L histidinylglycine,C8H12N4O3,0,C8H12N4O3,0,Inferred,unconstrained Target & Adherence,,,Same
92,M_hisgly_e,L histidinylglycine,C8H12N4O3,0,C8H12N4O3,0,Inferred,unconstrained Target & Adherence,,,Same
93,M_hisgly_p,L histidinylglycine,C8H12N4O3,0,C8H12N4O3,0,Inferred,unconstrained Target & Adherence,,,Same
94,M_hishis_c,L histidinylhistidine,C12H16N6O3,0,C12H16N6O3,0,Inferred,unconstrained Target & Adherence,,,Same
95,M_hishis_e,L histidinylhistidine,C12H16N6O3,0,C12H16N6O3,0,Inferred,unconstrained Target & Adherence,,,Same
96,M_hishis_p,L histidinylhistidine,C12H16N6O3,0,C12H16N6O3,0,Inferred,unconstrained Target & Adherence,,,Same
97,M_hptcoa_c,Heptanoyl-COA,C28H42N7O17P3S,0,C28H42N7O17P3S,0,Inferred,unconstrained Target & Adherence,,,Same
98,M_hxcoa_c,Hexanoyl-CoA (n-C6:0CoA),C27H42N7O17P3S,-4,C27H42N7O17P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
99,M_lysglugly_c,Lysine-glutamine-glycine tripeptide,C13H26N4O7,0,C13H26N4O7,0,Inferred,unconstrained Target & Adherence,,,Same
100,M_lysglugly_e,Lysine-glutamine-glycine tripeptide,C13H26N4O7,0,C13H26N4O7,0,Inferred,unconstrained Target & Adherence,,,Same
101,M_maltttrtre_c,Maltotetraosyltrehalose,C36H62O31,0,C36H62O31,0,Inferred,unconstrained Target & Adherence,,,Same
102,M_mlthf_c,"5,10-Methylenetetrahydrofolate",C20H21N7O6,-2,C20H21N7O6,-2,Inferred,unconstrained Target & Adherence,,,Same
103,M_odecoa_c,Octadecenoyl-CoA (n-C18:1CoA),C39H64N7O17P3S,-4,C39H64N7O17P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
104,M_pa190190_c,"1,2-sn-glycerol 3-phosphate",C41H81O8P,0,C41H81O8P,0,Inferred,unconstrained Target & Adherence,,,Same
105,M_pea_c,Phenylethyl alcohol,C8H9O,0,C8H9O,0,Inferred,unconstrained Target & Adherence,,,Same
106,M_pea_e,Phenylethyl alcohol,C8H9O,0,C8H9O,0,Inferred,unconstrained Target & Adherence,,,Same
107,M_ppa_c,Propionate (n-C3:0),C3H5O2,-1,C3H5O2,-1,Inferred,unconstrained Target & Adherence,,,Same
108,M_ppa_e,Propionate (n-C3:0),C3H5O2,-1,C3H5O2,-1,Inferred,unconstrained Target & Adherence,,,Same
109,M_ppa_p,Propionate (n-C3:0),C3H5O2,-1,C3H5O2,-1,Inferred,unconstrained Target & Adherence,,,Same
110,M_psd5p_c,Pseudouridine 5  phosphate C9H11N2O9P,C9H11N2O9P,-2,C9H11N2O9P,-2,Inferred,unconstrained Target & Adherence,,,Same
111,M_pyovd_kt_e,Pyoverdine  P putida specific,C27H48N10O15,0,C27H48N10O15,0,Inferred,unconstrained Target & Adherence,,,Same
112,M_pyovd_kt_p,Pyoverdine  P putida specific,C27H48N10O15,0,C27H48N10O15,0,Inferred,unconstrained Target & Adherence,,,Same
113,M_stfrnA_c,Staphyloferrin A,C17H24N2O14,0,C17H24N2O14,0,Inferred,unconstrained Target & Adherence,,,Same
114,M_stfrnA_e,Staphyloferrin A,C17H24N2O14,0,C17H24N2O14,0,Inferred,unconstrained Target & Adherence,,,Same
115,M_stfrnB_e,Staphyloferrin B,C19H22N2O18,0,C19H22N2O18,0,Inferred,unconstrained Target & Adherence,,,Same
116,M_tag160_e,Triacylglycerol  hexadecanoate,C51H98O6,0,C51H98O6,0,Inferred,unconstrained Target & Adherence,,,Same
117,M_tag180_e,Triacylglycerol  octadecanoate,C57H110O6,0,C57H110O6,0,Inferred,unconstrained Target & Adherence,,,Same
118,M_tag181d9_e,Triacylglycerol  nC181d9,C57H104O6,0,C57H104O6,0,Inferred,unconstrained Target & Adherence,,,Same
119,M_tag182d9d12_e,Triacylglycerol  nC182d9d12,C57H98O6,0,C57H98O6,0,Inferred,unconstrained Target & Adherence,,,Same
120,M_tnt_c,2 4 6 Trinitrotoluene,NO2,0,NO2,0,Inferred,unconstrained Target & Adherence,,,Same
121,M_tnt_e,2 4 6 Trinitrotoluene,NO2,0,NO2,0,Inferred,unconstrained Target & Adherence,,,Same
122,M_tnt_p,2 4 6 Trinitrotoluene,NO2,0,NO2,0,Inferred,unconstrained Target & Adherence,,,Same
123,M_tntmdh_c,2 4 6 trinitrotoluene  Meisenheimer dihydride complex,H2NO2,0,H2NO2,0,Inferred,unconstrained Target & Adherence,,,Same
124,M_tntmmh_c,2 4 6 Trinitrotoluene Meisenheimer monohydride complex,HNO2,0,HNO2,0,Inferred,unconstrained Target & Adherence,,,Same
125,M_ttdca_c,Tetradecanoate (n-C14:0),C14H27O2,-1,C14H27O2,-1,Inferred,unconstrained Target & Adherence,,,Same
126,M_ttdca_p,Tetradecanoate (n-C14:0),C14H27O2,-1,C14H27O2,-1,Inferred,unconstrained Target & Adherence,,,Same
127,M_ttdcea_c,Tetradecenoate (n-C14:1),C14H25O2,-1,C14H25O2,-1,Inferred,unconstrained Target & Adherence,,,Same
128,M_ttdcea_p,Tetradecenoate (n-C14:1),C14H25O2,-1,C14H25O2,-1,Inferred,unconstrained Target & Adherence,,,Same
129,M_ugmd_c,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate",C35H51N7O26P2,-4,C35H51N7O26P2,-4,Inferred,unconstrained Target & Adherence,,,Same
130,M_R_3hhxa_e, 3 hydroxyhexanoic acid,C6H12O3,0,C6H11O3,0,Inferred,,,,Diff
131,M_R_3hhxa_p, 3 hydroxyhexanoic acid,C6H12O3,0,C6H11O3,0,Inferred,,,,Diff
132,M_abg4_e,4-aminobenzoate-glutamate,C12H14N2O5,0,C12H11N2O5,0,Inferred,,,,Diff
133,M_glyglu_e,L glycinylglutamate,C7H12N2O5,0,C7H11N2O5,0,Inferred,,,,Diff
134,M_glyglu_p,L glycinylglutamate,C7H12N2O5,0,C7H11N2O5,0,Inferred,,,,Diff
135,M_serglugly_e,Serine-glutamine-glycine tripeptide,C10H19N3O8,0,C10H18N3O8,0,Inferred,,,,Diff
136,M_fe3pyovd_kt_e,Ferrypyoverdine  P putida KT2440 specific,C27FeH45N10O15,0,C27FeH48N10O15,0,Inferred,"R_FE3PYOVDL2: (M_fe3_e -> Adherence & seed.compound:cpd10516; M_pyovd_kt_e -> Adherence; M_h_e -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067)",,,Diff
137,M_istfrnA_e,Iron bound extracellular staphyloferrin A,C17FeH22N2O14,0,C17FeH24N2O14,0,Inferred,"R_SMIA1: (M_fe2_e -> Adherence & seed.compound:cpd10515; M_stfrnA_e -> Adherence; M_h_e -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067)",,,Diff
138,M_istfrnB_e,Iron bound extracellular staphyloferrin B,C19FeH20N2O18,0,C19FeH22N2O18,0,Inferred,"R_SMIB1: (M_fe2_e -> Adherence & seed.compound:cpd10515; M_stfrnB_e -> Adherence; M_h_e -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067)",,,Diff
139,M_3hptcoa_c,3-Hydroxypentoyl-CoA,C26H44N7O18P3S,0,C26H40N7O18P3S,0,Inferred,"R_VECOAH: (M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275; M_pt2coa_c -> metanetx.chemical:MNXM732306; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067)",,,Diff
140,M_4hadnt_c,4 Hydroxylamino 2 6 dinitrotoluene,H2NO,0,HNO,0,Inferred,"R_TNTHAC1: (M_35dnta_c -> Adherence; M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275; M_no2_c -> Adherence & metanetx.chemical:MNXM107; M_tntmdh_c -> Adherence; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067)",,,Diff
141,M_fe3pyovd_kt_p,Ferrypyoverdine  P putida KT2440 specific,C27FeH45N10O15,0,C27FeH48N10O15,0,Inferred,"R_FE3PYOVDDR2: (M_fe2_p -> Adherence & seed.compound:cpd10515; M_h_p -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_pqq_p -> seed.compound:cpd00097, metanetx.chemical:MNXM601; M_pyovd_kt_p -> Adherence; M_pqqh2_p -> Adherence & metanetx.chemical:MNXM765)",,,Diff
142,M_nadphx__R_c,(R)-NADPHX,C21H32N7O18P3,0,C21H28N7O18P3,0,Inferred,"R_NADPHHR: (M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275; M_nadph_c -> Adherence & seed.compound:cpd00005; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067)",,,Diff
143,M_2hadnt_c,2 Hydroxylamino 4 6 dinitrotoluene,H2NO,0,HNO,0,Inferred,"R_TNTR2: (M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275; M_nadp_c -> Adherence & seed.compound:cpd00006, metanetx.chemical:MNXM5; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_nadph_c -> Adherence & seed.compound:cpd00005; M_tnt_c -> Adherence)",,,Diff
144,M_R3hdec4coa_c, 3 Hydroxy 4Z decenoyl CoA,C31H51N7O18P3S,0,C31H48N7O18P3S,0,Inferred,"R_RHACOAEP101: (M_R3hdec4e_c -> Adherence; M_coa_c -> Adherence & seed.compound:cpd00010, metanetx.chemical:MNXM727276; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275)",,,Diff
145,M_R_3hdd6coa_c, 3 hydroxy  6Z  dodedecenyl CoA,C33H53N7O18P3S,0,C33H50N7O18P3S,0,Inferred,"R_RHACOAE121d6: (M_R_3hdd6e_c -> Adherence; M_coa_c -> Adherence & seed.compound:cpd00010, metanetx.chemical:MNXM727276; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275)",,,Diff
146,M_R_3hhpcoa_c, 3 Hydroxyheptanoyl CoA,C28H47N7O18P3S,0,C28H44N7O18P3S,0,Inferred,"R_RHACOAE70: (M_R_3hhpa_c -> Adherence; M_coa_c -> Adherence & seed.compound:cpd00010, metanetx.chemical:MNXM727276; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275)",,,Diff
147,M_R_3hhxa_c, 3 hydroxyhexanoic acid,C6H12O3,0,C6H11O3,0,Inferred,"R_RHACOAE60: (M_coa_c -> Adherence & seed.compound:cpd00010, metanetx.chemical:MNXM727276; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_R_3hhcoa_c -> seed.compound:cpd16757; M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275)",,,Diff
148,M_R_3hocta_c, 3 hydroxyoctanoic acid,C8H16O3,0,C8H15O3,0,Inferred,"R_RHACOAE80: (M_coa_c -> Adherence & seed.compound:cpd00010, metanetx.chemical:MNXM727276; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_R_3hocoa_c -> seed.compound:cpd16759; M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275)",,,Diff
149,M_R_3hpbcoa_c, 3 Hydroxyphenylbutanoyl CoA,C31H45N7O18P3S,0,C31H42N7O18P3S,0,Inferred,"R_RHACOAEP40: (M_R_3hpba_c -> Adherence; M_coa_c -> Adherence & seed.compound:cpd00010, metanetx.chemical:MNXM727276; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275)",,,Diff
150,M_R_3hpdecacoa_c, 3 Hydroxyphenyldecanoyl CoA,C37H51N7O18P3S,0,C37H48N7O18P3S,0,Inferred,"R_RHACOAEP100: (M_R_3hpdeca_c -> Adherence; M_coa_c -> Adherence & seed.compound:cpd00010, metanetx.chemical:MNXM727276; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275)",,,Diff
151,M_R_3hphpcoa_c, 3 Hydroxyphenylheptanoyl CoA,C34H47N7O18P3S,0,C34H44N7O18P3S,0,Inferred,"R_RHACOAEP70: (M_R_3hphpa_c -> Adherence; M_coa_c -> Adherence & seed.compound:cpd00010, metanetx.chemical:MNXM727276; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275)",,,Diff
152,M_R_3hpnonacoa_c, 3 Hydroxyphenylnonanoyl CoA,C36H49N7O18P3S,0,C36H46N7O18P3S,0,Inferred,"R_RHACOAEP90: (M_R_3hpnona_c -> Adherence; M_coa_c -> Adherence & seed.compound:cpd00010, metanetx.chemical:MNXM727276; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275)",,,Diff
153,M_R_3hptcoa_c, 3 Hydroxpypentoyl CoA,C26H43N7O18P3S,0,C26H40N7O18P3S,0,Inferred,"R_RHACOAE50: (M_R_3hpt_c -> Adherence; M_coa_c -> Adherence & seed.compound:cpd00010, metanetx.chemical:MNXM727276; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275)",,,Diff
154,M_R_3htd58coa_c, 3 hydroxy  5Z 8Z  tetradecedienyl CoA,C35H55N7O18P3S,0,C35H52N7O18P3S,0,Inferred,"R_RHACOAE142: (M_R_3htd58e_c -> Adherence; M_coa_c -> Adherence & seed.compound:cpd00010, metanetx.chemical:MNXM727276; M_h_c -> Adherence & metanetx.chemical:MNXM1, seed.compound:cpd00067; M_h2o_c -> Adherence & seed.compound:cpd00001, seed.compound:cpd15275)",,,Diff
