,Id,Unbalanced Reaction,Unbalanced Type,Reason,Shared Metabolites,Mass Difference,Charge Difference
10,R_AICART,"Reaction(id='R_AICART', name='Phosphoribosylaminoimidazolecarboxamide formyltransferase', metabolites={Metabolite(id='M_fprica_c', name='5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide', formula=C10H13N4O9P, charge=-2, SBO=247): 1.0, Metabolite(id='M_thf_c', name='5,6,7,8-Tetrahydrofolate', formula=C19H19N7O6, charge=0, SBO=247): 1.0, Metabolite(id='M_10fthf_c', name='10-Formyltetrahydrofolate', formula=C20H21N7O7, charge=-2, SBO=247): -1.0, Metabolite(id='M_aicar_c', name='5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide', formula=C9H13N4O8P, charge=-2, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 2.0}, SBO=176)",Charge,R_AICART,"M_10fthf_c, M_h_c, M_aicar_c, M_thf_c, M_fprica_c",,4.0
11,R_AMMQT8,"Reaction(id='R_AMMQT8', name='S-adenosylmethione:2-demthylmenaquinone methyltransferase (menaquinone 8)', metabolites={Metabolite(id='M_ahcys_c', name='S-Adenosyl-L-homocysteine', formula=C14H20N6O5S, charge=0, SBO=247): 1.0, Metabolite(id='M_mql8_c', name='Menaquinol 8', formula=C51H74O2, charge=0, SBO=247): 1.0, Metabolite(id='M_2dmmq8_c', name='2-Demethylmenaquinone 8', formula=C50H70O2, charge=0, SBO=247): -1.0, Metabolite(id='M_amet_c', name='S-Adenosyl-L-methionine', formula=C15H23N6O5S, charge=1, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -1.0}, SBO=176)",Charge,R_AMMQT8,"M_h_c, M_mql8_c, M_ahcys_c, M_2dmmq8_c, M_amet_c",,-2.0
12,R_AMPTASEPG,"Reaction(id='R_AMPTASEPG', name='Aminopeptidase (pro-gly)', metabolites={Metabolite(id='M_gly_c', name='Glycine', formula=C2H5NO2, charge=0, SBO=247): 1.0, Metabolite(id='M_pro__L_c', name='L-Proline', formula=C5H9NO2, charge=0, SBO=247): 1.0, Metabolite(id='M_h2o_c', name='H2O H2O', formula=H2O, charge=0, SBO=247): -1.0, Metabolite(id='M_progly_c', name='L-Prolinylglycine', formula=C7H14N2O3, charge=0, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 2.0}, SBO=176)",Charge,R_AMPTASEPG,"M_progly_c, M_h2o_c, M_gly_c, M_pro__L_c, M_h_c",,2.0
13,R_BMNMSHS,"Reaction(id='R_BMNMSHS', name='BMNMSHS', metabolites={Metabolite(id='M_bmnmsh_c', name='Bimane conjugated mycothiol (mtb)', formula=C27H40N4O14S, charge=0, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 2.0, Metabolite(id='M_bmn_c', name='Bimane', formula=C10H12N2O2, charge=0, SBO=247): -1.0, Metabolite(id='M_msh_c', name='Mycothiol (reduced)', formula=C17H30N2O12S, charge=0, SBO=247): -1.0}, SBO=176)",Charge,R_BMNMSHS,"M_bmnmsh_c, M_bmn_c, M_msh_c, M_h_c",,2.0
14,R_BTS2,"Reaction(id='R_BTS2', name='Biotin synthase (ala-L producing)', metabolites={Metabolite(id='M_ala__L_c', name='L-Alanine', formula=C3H7NO2, charge=0, SBO=247): 1.0, Metabolite(id='M_btn_c', name='Biotin', formula=C10H15N2O3S, charge=-1, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 2.0, Metabolite(id='M_cys__L_c', name='L-Cysteine', formula=C3H7NO2S, charge=0, SBO=247): -1.0, Metabolite(id='M_dtbt_c', name='Dethiobiotin', formula=C10H17N2O3, charge=-1, SBO=247): -1.0}, SBO=176)",Charge,R_BTS2,"M_dtbt_c, M_h_c, M_cys__L_c, M_ala__L_c, M_btn_c",,2.0
15,R_DHFR,"Reaction(id='R_DHFR', name='Dihydrofolate reductase', metabolites={Metabolite(id='M_nadp_c', name='Nicotinamide adenine dinucleotide phosphate', formula=C21H25N7O17P3, charge=-3, SBO=247): 1.0, Metabolite(id='M_thf_c', name='5,6,7,8-Tetrahydrofolate', formula=C19H19N7O6, charge=0, SBO=247): 1.0, Metabolite(id='M_dhf_c', name='7,8-Dihydrofolate', formula=C19H19N7O6, charge=-2, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 1.0, Metabolite(id='M_nadph_c', name='Nicotinamide adenine dinucleotide phosphate - reduced', formula=C21H26N7O17P3, charge=-4, SBO=247): -1.0}, SBO=176)",Charge,R_DHFR,"M_nadp_c, M_h_c, M_nadph_c, M_thf_c, M_dhf_c",,4.0
16,R_DHNAOT,"Reaction(id='R_DHNAOT', name='1,4-dihydroxy-2-naphthoate octaprenyltransferase', metabolites={Metabolite(id='M_2dmmq8_c', name='2-Demethylmenaquinone 8', formula=C50H70O2, charge=0, SBO=247): 1.0, Metabolite(id='M_co2_c', name='CO2 CO2', formula=CO2, charge=0, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 1.0, Metabolite(id='M_ppi_c', name='Diphosphate', formula=HO7P2, charge=-3, SBO=247): 1.0, Metabolite(id='M_dhna_c', name='1,4-Dihydroxy-2-naphthoate', formula=C11H7O4, charge=-1, SBO=247): -1.0, Metabolite(id='M_octdp_c', name='All-trans-Octaprenyl diphosphate', formula=C40H65O7P2, charge=-3, SBO=247): -1.0}, SBO=176)",Charge,R_DHNAOT,"M_h_c, M_dhna_c, M_octdp_c, M_co2_c, M_2dmmq8_c, M_ppi_c",,2.0
17,R_FE3DCITabc,"Reaction(id='R_FE3DCITabc', name='Iron transport from ferric-dicitrate via ABC system', metabolites={Metabolite(id='M_adp_c', name='ADP C10H12N5O10P2', formula=C10H13N5O10P2, charge=-2, SBO=247): 1.0, Metabolite(id='M_cit_c', name='Citrate', formula=C6H5O7, charge=-3, SBO=247): 2.0, Metabolite(id='M_fe3_c', name='Iron (Fe3+)', formula=Fe, charge=3, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 12.0, Metabolite(id='M_pi_c', name='Phosphate', formula=HO4P, charge=-2, SBO=247): 1.0, Metabolite(id='M_atp_c', name='ATP C10H12N5O13P3', formula=C10H12N5O13P3, charge=-4, SBO=247): -1.0, Metabolite(id='M_fe3dcit_e', name='Fe(III)dicitrate', formula=C12FeH22O14, charge=0, SBO=247): -1.0, Metabolite(id='M_h2o_c', name='H2O H2O', formula=H2O, charge=0, SBO=247): -1.0}, SBO=185)",Charge,R_FE3DCITabc,"M_h_c, M_atp_c, M_fe3dcit_e, M_cit_c, M_h2o_c, M_fe3_c, M_pi_c, M_adp_c",,9.0
18,R_FGFT,"Reaction(id='R_FGFT', name='', metabolites={Metabolite(id='M_gar_c', name='N1-(5-Phospho-D-ribosyl)glycinamide', formula=C7H14N2O8P, charge=-1, SBO=247): 1.0, Metabolite(id='M_h2o_c', name='H2O H2O', formula=H2O, charge=0, SBO=247): 1.0, Metabolite(id='M_methf_c', name='5,10-Methenyltetrahydrofolate', formula=C20H20N7O6, charge=-1, SBO=247): 1.0, Metabolite(id='M_fgam_c', name='N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide', formula=C8H13N2O9P, charge=-2, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -4.0, Metabolite(id='M_thf_c', name='5,6,7,8-Tetrahydrofolate', formula=C19H19N7O6, charge=0, SBO=247): -1.0}, SBO=176)",Charge,R_FGFT,"M_gar_c, M_h2o_c, M_fgam_c, M_h_c, M_thf_c, M_methf_c",,-4.0
19,R_FTHFLi,"Reaction(id='R_FTHFLi', name='Formate-tetrahydrofolate ligase', metabolites={Metabolite(id='M_10fthf_c', name='10-Formyltetrahydrofolate', formula=C20H21N7O7, charge=-2, SBO=247): 1.0, Metabolite(id='M_adp_c', name='ADP C10H12N5O10P2', formula=C10H13N5O10P2, charge=-2, SBO=247): 1.0, Metabolite(id='M_pi_c', name='Phosphate', formula=HO4P, charge=-2, SBO=247): 1.0, Metabolite(id='M_atp_c', name='ATP C10H12N5O13P3', formula=C10H12N5O13P3, charge=-4, SBO=247): -1.0, Metabolite(id='M_for_c', name='Formate', formula=CHO2, charge=-1, SBO=247): -1.0, Metabolite(id='M_thf_c', name='5,6,7,8-Tetrahydrofolate', formula=C19H19N7O6, charge=0, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -3.0}, SBO=176)",Charge,R_FTHFLi,"M_10fthf_c, M_h_c, M_atp_c, M_pi_c, M_adp_c, M_for_c, M_thf_c",,-4.0
20,R_GARFT,"Reaction(id='R_GARFT', name='Phosphoribosylglycinamide formyltransferase', metabolites={Metabolite(id='M_fgam_c', name='N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide', formula=C8H13N2O9P, charge=-2, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 3.0, Metabolite(id='M_thf_c', name='5,6,7,8-Tetrahydrofolate', formula=C19H19N7O6, charge=0, SBO=247): 1.0, Metabolite(id='M_10fthf_c', name='10-Formyltetrahydrofolate', formula=C20H21N7O7, charge=-2, SBO=247): -1.0, Metabolite(id='M_gar_c', name='N1-(5-Phospho-D-ribosyl)glycinamide', formula=C7H14N2O8P, charge=-1, SBO=247): -1.0}, SBO=176)",Charge,R_GARFT,"M_gar_c, M_10fthf_c, M_fgam_c, M_h_c, M_thf_c",,4.0
21,R_MECDPDH,"Reaction(id='R_MECDPDH', name='2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase', metabolites={Metabolite(id='M_h2mb4p_c', name='1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate', formula=C5H9O8P2, charge=-3, SBO=247): 1.0, Metabolite(id='M_h2o_c', name='H2O H2O', formula=H2O, charge=0, SBO=247): 1.0, Metabolite(id='M_2mecdp_c', name='2-C-methyl-D-erythritol 2,4-cyclodiphosphate', formula=C5H10O9P2, charge=-2, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -1.0}, SBO=176)",Charge,R_MECDPDH,"M_h2mb4p_c, M_h_c, M_h2o_c, M_2mecdp_c",,-2.0
22,R_METS,"Reaction(id='R_METS', name='Methionine synthase', metabolites={Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 2.0, Metabolite(id='M_met__L_c', name='L-Methionine', formula=C5H11NO2S, charge=0, SBO=247): 1.0, Metabolite(id='M_thf_c', name='5,6,7,8-Tetrahydrofolate', formula=C19H19N7O6, charge=0, SBO=247): 1.0, Metabolite(id='M_5mthf_c', name='5-Methyltetrahydrofolate', formula=C20H23N7O6, charge=-2, SBO=247): -1.0, Metabolite(id='M_hcys__L_c', name='L-Homocysteine', formula=C4H9NO2S, charge=0, SBO=247): -1.0}, SBO=176)",Charge,R_METS,"M_hcys__L_c, M_met__L_c, M_h_c, M_5mthf_c, M_thf_c",,4.0
23,R_NMO,"Reaction(id='R_NMO', name='Nitronate Monooxygenase', metabolites={Metabolite(id='M_acald_c', name='Acetaldehyde', formula=C2H4O, charge=0, SBO=247): 1.0, Metabolite(id='M_fmn_c', name='FMN C17H19N4O9P', formula=C17H19N4O9P, charge=-2, SBO=247): 1.0, Metabolite(id='M_no2_c', name='Nitrite', formula=NO2, charge=-1, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 6.0, Metabolite(id='M_etha_c', name='Ethanolamine', formula=C2H8NO, charge=1, SBO=247): -1.0, Metabolite(id='M_fmnh2_c', name='Reduced FMN', formula=C17H21N4O9P, charge=-2, SBO=247): -1.0, Metabolite(id='M_o2_c', name='O2 O2', formula=O2, charge=0, SBO=247): -1.0}, SBO=176)",Charge,R_NMO,"M_h_c, M_etha_c, M_fmnh2_c, M_acald_c, M_fmn_c, M_no2_c, M_o2_c",,4.0
24,R_THFOR1,"Reaction(id='R_THFOR1', name='5,6,7,8-Tetrahydrofolate:NAD+ oxidoreductase', metabolites={Metabolite(id='M_nad_c', name='Nicotinamide adenine dinucleotide', formula=C21H26N7O14P2, charge=-1, SBO=247): 2.0, Metabolite(id='M_thf_c', name='5,6,7,8-Tetrahydrofolate', formula=C19H19N7O6, charge=0, SBO=247): 1.0, Metabolite(id='M_fol_c', name='Folate', formula=C19H17N7O6, charge=-2, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 0.0, Metabolite(id='M_nadh_c', name='Nicotinamide adenine dinucleotide - reduced', formula=C21H27N7O14P2, charge=-2, SBO=247): -2.0}, SBO=176)",Charge,R_THFOR1,"M_fol_c, M_h_c, M_nadh_c, M_nad_c, M_thf_c",,4.0
25,R_BTS3r,"Reaction(id='R_BTS3r', name='Biotin synthase', metabolites={Metabolite(id='M_btn_c', name='Biotin', formula=C10H15N2O3S, charge=-1, SBO=247): 1.0, Metabolite(id='M_h2s_c', name='Hydrogen sulfide', formula=HS, charge=-1, SBO=247): 1.0, Metabolite(id='M_dtbt_c', name='Dethiobiotin', formula=C10H17N2O3, charge=-1, SBO=247): -1.0, Metabolite(id='M_s_c', name='Sulfur', formula=H2S, charge=0, SBO=247): -2.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 5.0}, SBO=176)",Charge,"R_DTBTST, R_BTS3r","M_s_c, M_dtbt_c, M_h_c, M_btn_c",,4.0
26,R_MTHFD,"Reaction(id='R_MTHFD', name='Methylenetetrahydrofolate dehydrogenase (NADP)', metabolites={Metabolite(id='M_methf_c', name='5,10-Methenyltetrahydrofolate', formula=C20H20N7O6, charge=-1, SBO=247): 1.0, Metabolite(id='M_nadph_c', name='Nicotinamide adenine dinucleotide phosphate - reduced', formula=C21H26N7O17P3, charge=-4, SBO=247): 1.0, Metabolite(id='M_mlthf_c', name='5,10-Methylenetetrahydrofolate', formula=C20H19N7O6, charge=0, SBO=247): -1.0, Metabolite(id='M_nadp_c', name='Nicotinamide adenine dinucleotide phosphate', formula=C21H25N7O17P3, charge=-3, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -2.0}, SBO=176)",Charge,"R_MTHFD, R_GLYCL","M_mlthf_c, M_h_c",,-4.0
27,R_MTHFD2i,"Reaction(id='R_MTHFD2i', name='Methylenetetrahydrofolate dehydrogenase  NAD ', metabolites={Metabolite(id='M_methf_c', name='5,10-Methenyltetrahydrofolate', formula=C20H20N7O6, charge=-1, SBO=247): 1.0, Metabolite(id='M_nadh_c', name='Nicotinamide adenine dinucleotide - reduced', formula=C21H27N7O14P2, charge=-2, SBO=247): 1.0, Metabolite(id='M_mlthf_c', name='5,10-Methylenetetrahydrofolate', formula=C20H19N7O6, charge=0, SBO=247): -1.0, Metabolite(id='M_nad_c', name='Nicotinamide adenine dinucleotide', formula=C21H26N7O14P2, charge=-1, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -2.0}, SBO=176)",Charge,"R_MTHFD2i, R_MOHMT","M_mlthf_c, M_h_c",,-4.0
28,R_MTHFR2,"Reaction(id='R_MTHFR2', name='5,10-methylenetetrahydrofolate reductase (NADH)', metabolites={Metabolite(id='M_5mthf_c', name='5-Methyltetrahydrofolate', formula=C20H23N7O6, charge=-2, SBO=247): 1.0, Metabolite(id='M_nad_c', name='Nicotinamide adenine dinucleotide', formula=C21H26N7O14P2, charge=-1, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -3.0, Metabolite(id='M_mlthf_c', name='5,10-Methylenetetrahydrofolate', formula=C20H19N7O6, charge=0, SBO=247): -1.0, Metabolite(id='M_nadh_c', name='Nicotinamide adenine dinucleotide - reduced', formula=C21H27N7O14P2, charge=-2, SBO=247): -1.0}, SBO=176)",Charge,"R_MTHFR2, R_GHMT2r","M_mlthf_c, M_h_c",,-4.0
29,R_MTHFR3,"Reaction(id='R_MTHFR3', name='5 10 methylenetetrahydrofolatereductase  NADPH ', metabolites={Metabolite(id='M_5mthf_c', name='5-Methyltetrahydrofolate', formula=C20H23N7O6, charge=-2, SBO=247): 1.0, Metabolite(id='M_nadp_c', name='Nicotinamide adenine dinucleotide phosphate', formula=C21H25N7O17P3, charge=-3, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -3.0, Metabolite(id='M_mlthf_c', name='5,10-Methylenetetrahydrofolate', formula=C20H19N7O6, charge=0, SBO=247): -1.0, Metabolite(id='M_nadph_c', name='Nicotinamide adenine dinucleotide phosphate - reduced', formula=C21H26N7O17P3, charge=-4, SBO=247): -1.0}, SBO=176)",Charge,"R_MTHFR3, R_GLYCL_2","M_mlthf_c, M_h_c",,-4.0
30,R_TMDS,"Reaction(id='R_TMDS', name='Thymidylate synthase', metabolites={Metabolite(id='M_dhf_c', name='7,8-Dihydrofolate', formula=C19H19N7O6, charge=-2, SBO=247): 1.0, Metabolite(id='M_dtmp_c', name='DTMP C10H13N2O8P', formula=C10H13N2O8P, charge=-2, SBO=247): 1.0, Metabolite(id='M_dump_c', name='DUMP C9H11N2O8P', formula=C9H11N2O8P, charge=-2, SBO=247): -1.0, Metabolite(id='M_mlthf_c', name='5,10-Methylenetetrahydrofolate', formula=C20H19N7O6, charge=0, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -2.0}, SBO=176)",Charge,"R_TMDS3, R_TMDS","M_mlthf_c, M_dtmp_c, M_dump_c, M_h_c",,-4.0
